Fish.ID	Temp_treat_oldcodes	Time_point	Rep_within_treat	Fish.no_total	Species	Temp	Temp_treat	Temp_rounded	Temp_treat_level	Fish.ID.old
Mb_CTMax4_t60_2	Thigh	60	2	83	Mb	29.8	CTMax4	30	4	Mb.Thigh.t60.2
Mb_CTMax4_t60_3	Thigh	60	3	84	Mb	29.8	CTMax4	30	4	Mb.Thigh.t60.3
Mb_CTMax4_t60_4	Thigh	60	4	85	Mb	29.8	CTMax4	30	4	Mb.Thigh.t60.4
Mb_CTMax4_t60_8	Thigh	60	8	86	Mb	29.8	CTMax4	30	4	Mb.Thigh.t60.8
Mb_CTMax12_t0_1	Tlow	0	1	87	Mb	22.2	CTMax12	22	2	Mb.Tlow.t0.1
Mb_CTMax12_t0_2	Tlow	0	2	88	Mb	22.2	CTMax12	22	2	Mb.Tlow.t0.2
Mb_CTMax12_t0_3	Tlow	0	3	89	Mb	22.2	CTMax12	22	2	Mb.Tlow.t0.3
Mb_CTMax12_t0_4	Tlow	0	4	90	Mb	22.2	CTMax12	22	2	Mb.Tlow.t0.4
Mb_CTMax12_t0_5	Tlow	0	5	91	Mb	22.2	CTMax12	22	2	Mb.Tlow.t0.5
Mb_CTMax12_t60_2	Tlow	60	2	92	Mb	22.2	CTMax12	22	2	Mb.Tlow.t60.2
Mb_CTMax12_t60_3	Tlow	60	3	93	Mb	22.2	CTMax12	22	2	Mb.Tlow.t60.3
Mb_CTMax12_t60_4	Tlow	60	4	94	Mb	22.2	CTMax12	22	2	Mb.Tlow.t60.4
Mb_CTMax12_t60_6	Tlow	60	6	95	Mb	22.2	CTMax12	22	2	Mb.Tlow.t60.6
Mb_CTMax12_t60_7	Tlow	60	7	96	Mb	22.2	CTMax12	22	2	Mb.Tlow.t60.7
