	logFC	AveExpr	t	P.Value	adj.P.Val	B
OG0004355	4.37334489130021	6.00694276658568	20.7536301503762	1.38486105781024e-34	1.60366910494426e-30	65.670438105501
OG0008972	3.05264389418684	6.63378036722484	14.0101020363536	1.42852550938758e-23	8.27116269935411e-20	42.4487153232391
OG0004073	3.13002635264766	6.54705222249774	12.6072290458387	5.67883791500545e-21	2.1920314351921e-17	36.9227107693248
OG0010913	2.06776004247176	6.34666028850065	11.6195585703397	4.38983668029796e-19	1.27085771894626e-15	32.7237340815391
OG0001501	2.22287664232045	4.40898477482291	11.2604330322647	2.18560556591957e-18	5.06186249066973e-15	31.191046969914
OG0008883	1.61799625857235	6.0427881707355	11.0781335218955	4.95891449300538e-18	9.57070497150039e-15	30.3756172746357
OG0007658	1.80947231163782	4.02398929304506	10.8903563028529	1.15657188500057e-17	1.91330034690095e-14	29.5024887210784
OG0011657	2.09127922268502	8.20679318426402	10.2216220127327	2.41182804016543e-16	3.38223334432438e-13	26.6630368264792
OG0010566	2.05740666018181	6.10720700193914	10.1963868592868	2.70631803059856e-16	3.38223334432438e-13	26.5839348657936
OG0003015	3.87158106175729	5.37377197589218	10.1796883689532	2.92075418335439e-16	3.38223334432438e-13	26.2849330096525
OG0003449	1.8789971974584	5.71790440568749	9.96410845061954	7.82767422479216e-16	7.55370562692444e-13	25.566268652254
OG0004098	2.15618310369268	4.7585484574648	9.62917538999726	3.63693516084728e-15	3.2396699355855e-12	24.0402134351984
OG0007302	4.7850253281866	1.93552238144183	10.0482760245782	5.325355779996e-16	5.60614726657761e-13	23.8107385508575
OG0001045	1.09265996351041	5.9943693115714	8.66618940959877	3.06092243778326e-13	2.53182013068073e-10	19.7908012018991
OG0002818	-1.26943948761913	4.54581288303208	-8.48332850507623	7.10331882091234e-13	5.48376212974433e-10	18.7943048748413
OG0001800	-1.22240375484326	5.80000174411755	-8.23439672168741	2.23133071885062e-12	1.61492560776814e-09	17.8359755020663
OG0008458	1.1880761988269	7.53578138269622	8.18961389616766	2.74087261150721e-12	1.86701793183844e-09	17.6661078693167
OG0009311	0.893562792902083	7.35291030600525	7.99900344211493	6.57087498190547e-12	4.22726290502585e-09	16.8198489344623
OG0002501	-0.992192613778051	4.03177564394415	-7.96020456599953	7.84899744738107e-12	4.78375739161436e-09	16.5843149261606
OG0000733	0.893039848070156	5.91407934910427	7.90494125643811	1.01086413068637e-11	5.79087373501207e-09	16.4022953813941
OG0007146	-1.51959086191212	6.38046876958196	-7.89660772945957	1.05015844935452e-11	5.79087373501207e-09	16.3551406306549
OG0004665	1.41327968076732	5.00114341984927	7.85838404567313	1.25082077370521e-11	6.5838657088665e-09	16.0962782694344
OG0005350	2.17988125445588	6.20350695951433	7.81094514049912	1.5537576578156e-11	7.82283203369768e-09	15.9607228328547
OG0006362	1.70566469350236	4.04048820027236	7.6910193303856	2.68640206914035e-11	1.29618899836022e-08	15.4553074781612
OG0000334	-1.34184031885442	5.99676957558983	-7.66714140173019	2.99541763812925e-11	1.38747744998147e-08	15.3499497131673
OG0004288	1.21432671851112	5.95431672829418	7.60361306383248	4.00095474533441e-11	1.78196369042202e-08	15.0704519224057
OG0009049	1.69425254000444	6.45325307469828	7.58267429649984	4.40111467203065e-11	1.88758918155981e-08	14.9780673648983
OG0007790	1.65873833544153	6.94263851961151	7.45825388369853	7.74811985039241e-11	3.20440099526943e-08	14.4301077053369
OG0003028	1.20735197082201	6.50410653817953	7.41774783552697	9.31155825353902e-11	3.71073039874887e-08	14.2507795748601
OG0001211	1.42995349917803	7.26041276887748	7.40722308563913	9.76678662671451e-11	3.71073039874887e-08	14.2078011064437
OG0007865	2.17593442614741	6.77127440777591	7.39970103560847	1.01056417622074e-10	3.71073039874887e-08	14.1746742297373
OG0005514	1.53903174566908	5.20527537963935	7.39648256824252	1.02541772676998e-10	3.71073039874887e-08	14.1478569865596
OG0005506	1.43244138790341	7.08178295287821	7.28145858951143	1.72605014871204e-10	6.05686688548044e-08	13.653509356683
OG0007244	1.33006610349005	3.84962344130061	7.10717515608063	3.78820498418561e-10	1.29021805049616e-07	12.8945527714226
OG0001990	1.40208417491963	6.25871340313891	7.0282642756462	5.40062519861432e-10	1.78683542285582e-07	12.5493648556964
OG0003553	-0.89557411254594	5.02329513036495	-6.96898642421165	7.04516411664433e-10	2.26619445752059e-07	12.3019056898019
OG0004672	3.65729387376338	5.77982808601444	6.92299215585158	8.65598117556664e-10	2.70908816251518e-07	12.0053907010085
OG0001518	-0.944523019315595	5.23151990655962	-6.88163571097469	1.04137637763522e-09	3.17345748763575e-07	11.9194756606412
OG0009445	1.16299514364194	5.82713335277556	6.83683779385125	1.27189839621572e-09	3.77655985337899e-07	11.7355488556438
OG0008064	-1.1092271660003	4.98669889610455	-6.79618887688906	1.52452813843598e-09	4.31280375337771e-07	11.5632801256058
OG0003235	-1.21973122739454	4.8296608660102	-6.79582721228767	1.52698578487467e-09	4.31280375337771e-07	11.5612518018515
OG0010617	2.1012405631795	4.74119467727362	6.75039827168793	1.86909922894961e-09	5.15337358838963e-07	11.3131827257432
OG0002983	1.82227692311595	4.44858271152221	6.71750148608474	2.16330194608404e-09	5.82582245015189e-07	11.1730928289768
OG0001112	0.801148576020472	5.31979765204768	6.69147872882203	2.42817543260037e-09	6.27385531006655e-07	11.1156518352731
OG0008138	0.88502118019122	6.45210843094647	6.69056606338644	2.43802667489633e-09	6.27385531006655e-07	11.0901043976211
OG0010209	1.67871444875409	5.60360242190569	6.68450080501644	2.50450865761389e-09	6.30482831634104e-07	11.0806725035997
OG0002471	-1.07909915890444	4.45867410515406	-6.67630333052017	2.59722593154444e-09	6.3270545673849e-07	11.0475088703693
OG0002571	2.05819358634391	7.86446877194126	6.67410930621733	2.62261329218027e-09	6.3270545673849e-07	11.0248769129236
OG0005608	1.26279399354793	5.13474121691686	6.656447097253	2.83614903709725e-09	6.70257262236451e-07	10.9578868763208
OG0009361	0.947254842359119	7.64840726717822	6.63449978807722	3.12563538455099e-09	7.1711876196386e-07	10.851384613511
OG0007712	0.991525603370051	6.72107700091038	6.63215132798276	3.15829506564394e-09	7.1711876196386e-07	10.8394109313545
OG0000557	1.94606368433675	4.81931630490384	6.59212571613	3.76987496952373e-09	8.33982203343843e-07	10.6752233254594
