	logFC	AveExpr	t	P.Value	adj.P.Val	B
OG0008062	5.07042278850213	4.34950827922099	15.5126273688348	3.07583056159804e-26	3.56181179033053e-22	46.9714366872674
OG0001692	1.72326940208363	4.70298357202005	9.97875344740895	7.32005457178586e-16	4.23831159706401e-12	24.6970020871662
OG0005350	2.15536140261125	6.20350695951433	8.88977807382172	1.09286233202514e-13	4.21844860161705e-10	20.5586471438162
OG0008972	1.33403212984043	6.63378036722484	6.85573015178774	1.16908048107674e-09	2.93740672257709e-06	11.7956524700441
OG0005195	0.643875104278993	7.72795163764206	6.82851449894623	1.31999680259257e-09	2.93740672257709e-06	11.6835364732403
OG0000434	1.79048524819425	7.2775650015865	6.79656559121254	1.52197239511766e-09	2.93740672257709e-06	11.5430401625667
OG0000876	1.34848619156206	6.49908021016453	6.65397077684606	2.86743364187266e-09	4.74355451041221e-06	10.9194487790054
OG0002516	1.6877044088592	2.31647991896162	6.53836453265167	4.77949728982098e-09	6.27044586677538e-06	10.4314009439242
OG0000117	1.28267949746989	6.05659601169748	6.53395090388911	4.87340352340056e-09	6.27044586677538e-06	10.3699060865083
OG0004359	1.23894437187095	6.06126447161214	6.24094115232142	1.75816800569389e-08	2.03595855059352e-05	9.20160712301299
OG0004073	1.90324468083507	6.54705222249774	5.99968172601976	4.9861171385713e-08	5.24902149678687e-05	8.1388684153916
OG0009823	1.49321279590183	3.79018177047133	5.9487618310319	6.20200897211846e-08	5.98493865809432e-05	8.03193789293812
OG0005137	0.798325412685911	7.9671819264004	5.79189760944738	1.20963705856194e-07	0.000100054265272481	7.39966488008395
OG0011186	1.66182150948501	2.03324319486681	5.79490232712652	1.19433053932828e-07	0.000100054265272481	7.36604156001418
OG0009707	1.29115320783279	6.00602406449376	5.62507962524483	2.44334831559878e-07	0.000188626489964226	6.73482142850817
OG0002772	1.14766287119116	4.86615114267102	5.40585023948456	6.07876737337597e-07	0.000439950788648086	5.8767413611554
OG0002065	1.51147902870854	5.28245110056546	5.34833770596993	7.70143575112514e-07	0.000524603682341348	5.65876472926208
OG0005529	0.625320610854182	6.94460357415885	5.24480580895862	1.17585292360696e-06	0.000756465380853808	5.25324991618835
OG0001883	0.860070861867376	7.19737910262776	5.21466381097359	1.32911384191803e-06	0.000810059909968988	5.14158828668358
OG0008270	0.897963440748029	3.47840454029224	5.19024703859693	1.46745470614933e-06	0.000845759706266625	5.04897234199893
OG0008843	0.772984043447877	7.97568576257334	5.17933269474454	1.53376112535398e-06	0.000845759706266625	4.9998616621665
OG0000730	1.22196919276036	6.97506333842849	5.1296328488014	1.87467108025992e-06	0.000986758686791356	4.83130028445367
OG0011686	-1.44872607265147	5.08123254384371	-5.06357147525173	2.4445227071954e-06	0.0012307640412749	4.58478071950066
OG0002379	1.87648661298827	3.87632756999829	5.0494106834669	2.58709984522742e-06	0.00124827567532223	4.53140680793674
OG0007201	1.03496158423417	5.91163511228731	5.01825521284036	2.92998367985053e-06	0.00135716844050677	4.41573860774531
OG0004866	-2.05355405281392	5.02910515492725	-4.98579069483497	3.33442809430993e-06	0.00148510297431188	4.29518755689204
OG0002839	1.57746920513243	5.21685656308665	4.96332047517136	3.64576660616256e-06	0.00155479645756231	4.20578421132711
OG0003923	1.21484918284883	5.56763668608136	4.95558065255285	3.7594387574909e-06	0.00155479645756231	4.1752037423074
OG0008012	1.43625311095269	8.27728056944076	4.93817386397691	4.02786750795142e-06	0.00160836916351991	4.10776467026485
