	logFC	AveExpr	t	P.Value	adj.P.Val	B
OG0004355	6.01209477043706	6.00694276658568	28.8756428122627	4.93134139743476e-45	5.71049333822945e-41	88.2834710999068
OG0008972	4.69906526859032	6.63378036722484	21.0482623083578	5.17339457562337e-35	2.99539545928593e-31	67.5305723081703
OG0010913	2.97949545551982	6.34666028850065	17.2060684029982	4.27955878799405e-29	1.6519096921657e-25	55.1383592543874
OG0007658	2.54017079501144	4.02398929304506	15.947472304971	5.48743633277291e-27	1.27089025467021e-23	50.3829977984169
OG0007302	7.58057705191147	1.93552238144183	16.6029355175102	4.27283462312577e-28	1.23698562339491e-24	48.6607387261956
OG0008883	2.06937720756902	6.0427881707355	14.6537102820895	9.93872533020358e-25	1.91817398872929e-21	45.4807693386084
OG0005350	3.99619046266825	6.20350695951433	14.5830539181134	1.32832503844495e-24	2.1974291350275e-21	45.0137087905499
OG0005337	2.32327925143412	7.34006326772308	13.8447982442211	2.85638010565913e-23	4.13461020294159e-20	42.3030045193968
OG0009311	1.35358406806225	7.35291030600525	12.6036976086746	5.76672549019757e-21	7.41985346405421e-18	37.1865750766879
OG0008138	1.48676437265521	6.45210843094647	11.6466635153447	3.89088407379822e-19	4.50564375745834e-16	33.0731010516291
OG0000353	2.76643271861222	3.9881185689631	11.4290045931828	1.02729722943707e-18	1.08146381062557e-15	32.015948554423
OG0001174	1.48854847840781	4.80120967567956	11.2392850656144	2.40316628407322e-18	2.31905546413066e-15	31.2322353644699
OG0000557	3.56242334632445	4.81931630490384	11.0378587440609	5.94515241884096e-18	5.29575884693679e-15	30.3316554497735
OG0008721	1.40156010926037	8.28298896829628	10.9531850626807	8.70911886689193e-18	7.20368546275775e-15	30.0330878270728
OG0003015	3.65484372287104	5.37377197589218	10.5925877738674	4.45522509438965e-17	3.43943377286881e-14	28.3655984015135
OG0000630	-1.97566069580451	7.59609010031671	-10.1638278856562	3.14018874462478e-16	2.27271160392219e-13	26.5277044103293
OG0011657	1.88290565319053	8.20679318426402	9.62837568972945	3.65031836953958e-15	2.48651098348637e-12	24.1240872512252
OG0000985	1.16188561569941	6.91236086539622	9.56349485343485	4.91793755153727e-15	2.99735351825272e-12	23.8358753721342
OG0001112	1.13678767328756	5.31979765204768	9.56711771072266	4.83674197133245e-15	2.99735351825272e-12	23.8319537128672
OG0004098	2.1016176032897	4.7585484574648	9.34259593599208	1.35816104070807e-14	7.4173804539592e-12	22.8331561665593
OG0001501	1.75400187408089	4.40898477482291	9.33614799662043	1.39906272963871e-14	7.4173804539592e-12	22.8128036604095
OG0011267	1.10036535242256	6.03055694487087	9.3345830742949	1.40917417950866e-14	7.4173804539592e-12	22.8060926221412
OG0005145	3.47184288928539	9.39529117668781	9.14395937327141	3.38907536945725e-14	1.70632577297022e-11	21.9482071409249
OG0003940	1.11822188903507	6.05705706644694	9.1260228754901	3.68090840743825e-14	1.77603830658895e-11	21.8645216484435
OG0004167	-1.09006029371458	3.16289447424089	-8.95894679194663	7.94656835671971e-14	3.68085046283257e-11	20.9757369095903
OG0010566	1.71117999295864	6.10720700193914	8.90710940639027	1.00899828104375e-13	4.49392311326407e-11	20.8797466056709
